Title,DOI,Citation
Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections,10.1109/tps.2014.2309595,"Hoft Hans, Huiskamp Tom, Kettlitz Manfred, Pemen A. J. M. (2014). Visualization of a Coaxial Dielectric Barrier Discharge Driven by a Sub-ns Rising High-Voltage Pulse and Its Reflections. IEEE Transactions on Plasma Science. https://doi.org/10.1109/tps.2014.2309595"
Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects,10.1088/0022-3727/47/46/465206,"Höft H, Kettlitz M, Becker M M, Hoder T, Loffhagen D, Brandenburg R, Weltmann K-D (2014). Breakdown characteristics in pulsed-driven dielectric barrier discharges- influence of the prebreakdown phase due to volume memory effects. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/47/46/465206"
Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges,10.1063/1.4943278,"Höft H., Becker M. M., Kettlitz M. (2016). Impact of gas flow rate on breakdown of filamentary dielectric barrier discharges. Physics of Plasmas. https://doi.org/10.1063/1.4943278"
Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime,10.1088/0022-3727/38/13/017,"Brandenburg R, Maiorov V A, Golubovskii Yu B, Wagner H-E, Behnke J, Behnke J F (2005). Diffuse barrier discharges in N2 with small admixtures of N2 - discharge mechanism and transition to the filamentary regime. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/38/13/017"
Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,"Jovanović Aleksandar P, Hoder Tomáš, Höft Hans, Loffhagen Detlef, Becker Markus M (2023). Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/acd2fc"
Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges,10.1088/1361-6595/ac511f,"Wubs J R, Höft H, Kettlitz M, Becker M M, Weltmann K-D (2022). Impact of the electrode proximity on the streamer breakdown and development of pulsed dielectric barrier discharges. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/ac511f"
Influence of residual charge on repetitively nanosecond pulsed DBDs in atmospheric air,10.1063/1.4986390,"Liu Yidi, Yan Huijie, Fan Zhihui, Guo Hongfei, Ren Chunsheng (2017). Influence of residual charge on repetitively nanosecond pulsed DBDs in atmospheric air. Physics of Plasmas. https://doi.org/10.1063/1.4986390"
Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges,10.1088/1361-6463/aa5605,"Tschiersch R, Nemschokmichal S, Bogaczyk M, Meichsner J (2017). Surface charge measurements on different dielectrics in diffuse and filamentary barrier discharges. Journal of Physics D: Applied Physics. https://doi.org/10.1088/1361-6463/aa5605"
Streamer-surface interaction in an atmospheric pressure dielectric barrier discharge in argon,10.1088/1361-6595/ac63df,"Jovanović Aleksandar P, Loffhagen Detlef, Becker Markus M (2022). Streamer-surface interaction in an atmospheric pressure dielectric barrier discharge in argon. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/ac63df"
Discharge propagation on a dielectric surface in a single-filament arrangement,10.1140/epjd/e2020-10082-y,"Kettlitz Manfred, Klink Rouven, Höft Hans, Brandenburg Ronny (2020). Discharge propagation on a dielectric surface in a single-filament arrangement. The European Physical Journal D. https://doi.org/10.1140/epjd/e2020-10082-y"
Fluid modelling of CO2 dissociation in a dielectric barrier discharge,10.1063/1.4941530,"Ponduri S., Becker M. M., Welzel S., van de Sanden M. C. M., Loffhagen D., Engeln R. (2016). Fluid modelling of CO2 dissociation in a dielectric barrier discharge. Journal of Applied Physics. https://doi.org/10.1063/1.4941530"
Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,"Becker M M, Hoder T, Brandenburg R, Loffhagen D (2013). Analysis of microdischarges in asymmetric dielectric barrier discharges in argon. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/46/35/355203"
Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures,10.1140/epjd/s10053-023-00601-z,"Höft Hans, Becker Markus M., Kettlitz Manfred, Dap Simon, Naudé Nicolas, Brandenburg Ronny, Weltmann Klaus-Dieter (2023). Exploring the mechanisms leading to diffuse and filamentary modes in dielectric barrier discharges in N2 with N2O admixtures. The European Physical Journal D. https://doi.org/10.1140/epjd/s10053-023-00601-z"
